City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,grand gaube,-20.0064,57.6608,24.1,79,19,1.79,MU,1680917003
83,ust-maya,60.4167,134.5333,-6.62,86,100,5.01,RU,1680917004
84,katsuura,35.1333,140.3,18.82,52,0,11.45,JP,1680916962
85,castrovillari,39.8203,16.2123,1.83,88,1,2.43,IT,1680917004
86,norman wells,65.282,-126.8329,-5.98,58,75,7.72,CA,1680916941
87,salaverry,-8.2333,-78.9667,26.21,80,97,2.62,PE,1680917005
88,kodiak,57.79,-152.4072,0.73,64,100,3.6,US,1680916922
89,tessalit,20.1986,1.0114,23.48,15,74,3.57,ML,1680917007
90,montoro,38.0241,-4.3834,7.32,43,0,0.7,ES,1680917007
91,bambanglipuro,-7.95,110.2833,26.17,76,100,1.26,ID,1680917007
92,marsh harbour,26.5412,-77.0636,24.41,75,85,6.77,BS,1680917008
93,salto,-31.3833,-57.9667,19.37,80,5,1.79,UY,1680917008
94,dzilam gonzalez,21.2833,-88.9333,27.98,50,12,3.79,MX,1680917009
95,vallenar,-28.5708,-70.7581,19.98,65,1,0.94,CL,1680916965
96,ribeira grande,38.5167,-28.7,11.54,76,22,2.68,PT,1680916960
97,fort nelson,58.8053,-122.7002,13.77,26,75,4.63,CA,1680917010
98,bilma,18.6853,12.9164,29.19,11,6,3.5,NE,1680917010
99,santona,43.4439,-3.4576,10.18,76,100,1.41,ES,1680917011
100,aksu,41.1231,80.2644,8.86,21,0,2.67,CN,1680917011
101,abong mbang,3.9833,13.1833,20.94,91,87,1.29,CM,1680917012
102,paamiut,61.994,-49.6678,-1.55,72,68,3.9,GL,1680917012
103,bambous virieux,-20.3428,57.7575,24.01,94,40,2.06,MU,1680916941
104,zarate,-34.0981,-59.0286,19.39,79,2,1.79,AR,1680917012
105,fairbanks,64.8378,-147.7164,-6.06,44,0,3.09,US,1680916832
106,manta,-0.95,-80.7333,26.88,83,75,1.54,EC,1680917013
107,weyburn,49.6668,-103.8511,-3.88,93,99,11.32,CA,1680917014
108,teknaf,20.8624,92.3058,25.76,44,0,2.86,BD,1680917014
109,cayce,33.9657,-81.074,9.34,80,100,8.23,US,1680917014
110,yellowknife,62.456,-114.3525,5.29,56,75,7.72,CA,1680916903
111,kachiry,53.0675,76.1036,-7.51,55,0,4.97,KZ,1680917015
112,esperance,-33.8667,121.9,16.12,72,100,5.22,AU,1680917016
113,santa fe,-31.6333,-60.7,23.32,75,4,1.34,AR,1680916999
114,camopi,3.1655,-52.3158,22.33,91,36,1.72,GF,1680917017
115,bridlington,54.0831,-0.1919,6.05,88,71,1.21,GB,1680917017
116,chivay,-15.6383,-71.6011,7.98,83,100,0.54,PE,1680917018
117,owando,-0.4819,15.8999,22.03,93,98,0.15,CG,1680917018
118,malanje,-9.5402,16.341,17.73,98,100,2.73,AO,1680917018
119,camacha,33.0833,-16.3333,15.68,59,75,1.54,PT,1680917019
120,labuhan,-6.8844,112.2051,26.75,79,100,3.67,ID,1680917019
