City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1681072148
84,rethimnon,35.3647,24.4714,14.0,76,3,1.56,GR,1681072188
85,rio grande,-32.035,-52.0986,25.06,74,14,4.67,BR,1681072188
86,yeppoon,-23.1333,150.7333,13.88,52,0,2.37,AU,1681072189
87,nekhayevskiy,50.4106,41.7561,7.55,61,29,2.01,RU,1681072189
88,komsomolskiy,40.4272,71.7189,14.4,41,100,2.06,UZ,1681072189
89,busselton,-33.65,115.3333,15.12,86,100,2.62,AU,1681072189
90,cidreira,-30.1811,-50.2056,22.91,80,83,6.81,BR,1681072190
91,kapaa,22.0752,-159.319,25.61,71,75,8.23,US,1681072190
92,beringovskiy,63.05,179.3167,-18.93,98,97,2.83,RU,1681072190
93,khani,41.9563,42.9566,7.76,60,78,2.79,GE,1681072191
94,kaitangata,-46.2817,169.8464,13.62,95,80,5.37,NZ,1681072191
95,talnakh,69.4865,88.3972,-28.52,96,47,1.57,RU,1681072191
96,jaguarao,-32.5661,-53.3758,23.26,61,89,5.54,BR,1681072192
97,upernavik,72.7868,-56.1549,-16.1,92,97,5.92,GL,1681072192
98,castro,-24.7911,-50.0119,19.57,85,64,2.21,BR,1681071900
99,kropotkin,45.4375,40.5756,10.22,80,39,2.8,RU,1681072192
100,padang,-0.9492,100.3543,24.72,87,37,1.61,ID,1681071919
101,broken hill,-31.95,141.4333,10.13,70,0,3.6,AU,1681072193
102,hofn,64.2539,-15.2082,6.81,93,100,11.48,IS,1681072193
103,ucluelet,48.9329,-125.5528,8.38,93,100,0.89,CA,1681071914
104,kathmandu,27.7167,85.3167,16.58,51,20,1.54,NP,1681071776
105,cabo san lucas,22.8909,-109.9124,31.45,45,0,2.06,MX,1681072194
106,karancslapujto,48.15,19.7333,4.78,82,60,0.68,HU,1681072194
107,kununurra,-15.7667,128.7333,25.99,83,100,2.06,AU,1681072194
108,teguldet,57.3064,88.1667,-9.4,88,100,2.38,RU,1681072194
109,san policarpo,12.1791,125.5072,26.41,80,100,6.28,PH,1681072195
110,dumas,35.8656,-101.9732,24.08,17,0,7.2,US,1681071677
111,caravelas,-17.7125,-39.2481,25.09,89,67,1.7,BR,1681072195
112,fort nelson,58.8053,-122.7002,9.77,29,100,4.63,CA,1681072195
113,cusuna,15.85,-85.2333,28.09,58,28,4.41,HN,1681072196
114,kaputa,-8.4689,29.6619,20.77,88,98,1.3,ZM,1681072196
115,velyka mykhaylivka,47.0794,29.8514,8.57,81,20,1.32,UA,1681072197
116,yulara,-25.2406,130.9889,21.38,32,79,3.97,AU,1681072198
117,hirara,24.8,125.2833,17.15,72,40,1.54,JP,1681072198
118,codrington,-38.2667,141.9667,12.59,75,100,6.01,AU,1681072198
119,sorland,67.667,12.6934,3.92,79,9,4.08,NO,1681072198
120,alice,27.7523,-98.0697,24.75,66,100,3.09,US,1681072199
121,longyearbyen,78.2186,15.6401,0.91,86,100,7.72,SJ,1681072199
122,jati,24.3539,68.2671,24.39,59,13,5.15,PK,1681072199
123,qobustan,40.0824,49.412,11.66,76,92,2.18,AZ,1681072200
124,sparks,39.5349,-119.7527,21.97,32,20,4.12,US,1681072189
125,zapolyarnyy,69.4154,30.8136,1.56,89,90,3.15,RU,1681072201
126,salalah,17.0151,54.0924,28.05,74,20,2.06,OM,1681072205
127,hamilton,39.1834,-84.5333,19.02,31,0,5.66,US,1681071949
128,willmar,45.1219,-95.0433,11.01,58,0,1.54,US,1681072212
129,wamba,8.9333,8.6,28.55,53,99,0.34,NG,1681072215
130,bengkulu,-3.8004,102.2655,23.21,90,99,1.75,ID,1681072216
131,zhongshu,24.5167,103.7667,13.19,58,0,1.44,CN,1681072217
132,aklavik,68.2191,-135.0107,-12.79,85,80,3.51,CA,1681072219
133,khatanga,71.9667,102.5,-20.69,99,100,2.85,RU,1681072219
134,lodja,-3.4833,23.4333,20.8,89,53,0.78,CD,1681072220
135,ponta do sol,32.6667,-17.1,19.45,76,5,5.03,PT,1681072221
136,lebu,-37.6167,-73.65,15.29,72,69,2.98,CL,1681072221
137,carballo,43.213,-8.691,13.81,87,100,1.39,ES,1681072199
138,acapulco,16.8634,-99.8901,31.9,55,0,5.66,MX,1681072032
139,ilulissat,69.2167,-51.1,-2.99,86,100,0.0,GL,1681072226
